"SPECIES_CODE","KINGDOM_TAXON","SUBKINGDOM_TAXON","PHYLUM_TAXON","SUBPHYLUM_TAXON","SUPERCLASS_TAXON","CLASS_TAXON","SUBCLASS_TAXON","INFRACLASS_TAXON","DIVISION_TAXON","SUBDIVISION_TAXON","SUPERORDER_TAXON","ORDER_TAXON","SUBORDER_TAXON","INFRAORDER_TAXON","SUPERFAMILY_TAXON","FAMILY_TAXON","SUBFAMILY_TAXON","TRIBE_TAXON","SUBTRIBE_TAXON","GENUS_TAXON","SUBGENUS_TAXON","SECTION_TAXON","SUBSECTION_TAXON","SPECIES_TAXON","SUBSPECIES_TAXON","REPORT_NAME_SCIENTIFIC"
20100,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Alepocephalidae","","","","","","","","","","Alepocephalidae unid."
20105,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Alepocephalidae","","","","Asquamiceps","","","","caeruleus","","Asquamiceps caeruleus"
20110,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Alepocephalidae","","","","Alepocephalus","","","","","","Alepocephalus sp."
20120,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Alepocephalidae","","","","Alepocephalus","","","","tenebrosus","","Alepocephalus tenebrosus"
20121,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Alepocephalidae","","","","Bajacalifornia","","","","burragei","","Bajacalifornia burragei"
20122,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Alepocephalidae","","","","Bajacalifornia","","","","megalops","","Bajacalifornia megalops"
20130,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Alepocephalidae","","","","Rouleina","","","","attrita","","Rouleina attrita"
20150,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Alepocephalidae","","","","Talismania","","","","bifurcata","","Talismania bifurcata"
20179,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Platytroctidae","","","","Maulisia","","","","","","Maulisia sp."
20180,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Platytroctidae","","","","Maulisia","","","","mauli","","Maulisia mauli"
