"Id","Area_km2","Lon","Lat","DEPTH_EFH","E_km","N_km","shallower_than_700m","trawlable","shallow_trawlable","LOG_DEPTH_EFH","LOG_DEPTH_EFH_CEN","LOG_DEPTH_EFH_CEN_SQ","stratum"
717973,13.719616,-151.3654241,57.8881865,87,596.913767120069,6417.43277167123,TRUE,TRUE,TRUE,4.46590811865458,-1.01563940717457,1.03152340540592,31
717974,13.719616,-151.3028487,57.88685576,90,600.627108012566,6417.37602879593,TRUE,TRUE,TRUE,4.49980967033027,-0.955390872914068,0.912771720047505,31
717975,13.719616,-151.240278,57.88549381,93,604.340482609766,6417.31924232639,TRUE,TRUE,TRUE,4.53259949315326,-0.897118060429086,0.804820814348046,31
717976,13.719616,-151.1777122,57.88410065,89,608.053886751778,6417.26241163502,TRUE,TRUE,TRUE,4.48863636973214,-0.97524763316885,0.951107946001443,31
717977,13.719616,-151.1151515,57.88267627,89,611.767316307842,6417.20553495087,TRUE,TRUE,TRUE,4.48863636973214,-0.97524763316885,0.951107946001443,31
717978,13.719616,-151.0525959,57.88122068,91,615.480778943254,6417.14861304032,TRUE,TRUE,TRUE,4.51085950651685,-0.93575352886477,0.875634666782869,31
717979,13.719616,-150.9900455,57.87973389,94,619.194276389246,6417.091646507,TRUE,TRUE,TRUE,4.54329478227,-0.878110803801402,0.771078583752744,31
717980,13.719616,-150.9275004,57.87821589,96,622.907810439748,6417.03463372015,TRUE,TRUE,TRUE,4.56434819146784,-0.840695494393428,0.70676891429341,31
717981,13.719616,-150.8649608,57.8766667,98,626.621376856508,6416.97757619239,TRUE,TRUE,TRUE,4.58496747867057,-0.804051689904904,0.646499120038931,31
717982,13.719616,-150.8024268,57.87508632,101,630.334977392904,6416.92047337264,TRUE,TRUE,TRUE,4.61512051684126,-0.750464869730293,0.563197520699306,31
717983,13.719616,-150.7398984,57.87347475,104,634.048619730573,6416.8633248996,TRUE,TRUE,TRUE,4.64439089914137,-0.698446671634321,0.487827753117061,31
717984,13.719616,-150.6773759,57.87183199,106,637.762293760526,6416.80612981448,TRUE,TRUE,TRUE,4.66343909411207,-0.664594951858441,0.441686450035723,31
